Doc_No:DI-03-05,Version:1.0,Effective_Date:01-Apr-2024,Entity:Bharat Mercantile Bank Limited
Prepared_By:IT Asset Management Division,Reviewed_By:CISO,Approved_By:Board of Directors
,,,,,,,,,,,
Change_ID,Change_Date,Asset_ID,Asset_Name,Change_Type,Field_Changed,Previous_Value,New_Value,Change_Description,Reason,Changed_By,Reviewer,Approver,Approval_Date,Version_After_Change
CHG-2024-0001,01-Apr-2024,AST-2024-0001,PowerEdge R750xs - CBS,Addition,New Asset,N/A,N/A,New server procured for CBS application expansion,"Q4 FY24 budget allocation for CBS scalability",Rajesh Patil,Amit Khanna,Neha Shah,15-Jan-2024,1.0
CHG-2024-0002,01-Apr-2024,AST-2024-0002,PowerEdge R750xs - CBS DR,Addition,New Asset,N/A,N/A,DR server to match primary CBS expansion,"DR parity requirement per RBI guidelines",Rajesh Patil,Amit Khanna,Neha Shah,20-Jan-2024,1.0
CHG-2024-0003,05-Feb-2024,AST-2024-0004,FortiGate 600F,Addition,New Asset,N/A,N/A,Perimeter firewall replacement for legacy FortiGate 500D,"EOL of FortiGate 500D. Security upgrade requirement.",Ankit Mehra,Vikram Singh,Ankit Mehra,05-Feb-2024,1.0
CHG-2024-0004,10-Feb-2024,AST-2023-0050,Legacy FortiGate 500D,Modification,Status,Active,Disposed,Legacy firewall decommissioned after migration,"Replaced by AST-2024-0004. EOS reached Sep 2023.",Ankit Mehra,Vikram Singh,Ankit Mehra,10-Feb-2024,2.0
CHG-2024-0005,15-Feb-2024,AST-2024-0007,Microsoft 365 E5,Modification,Version,1.0,2.3,"Version update to reflect tenant configuration changes and license count update from 4200 to 4500 seats","Annual license renewal with increased seat count for new hires",Ravi Gupta,Sneha Patel,Meena Iyer,15-Feb-2024,2.3
CHG-2024-0006,20-Feb-2024,AST-2024-0008,Azure VM - Digital Lending App,Addition,New Asset,N/A,N/A,"Provisioned D16s_v5 VM for digital lending platform in Azure Sub-001","New digital lending product launch",Arun Nair,Deepak Joshi,Vikram Shah,20-Feb-2024,1.0
CHG-2024-0007,01-Mar-2024,AST-2024-0016,HPE ProLiant DL360 Gen11 - AD,Addition,New Asset,N/A,N/A,"New primary domain controller to replace legacy DC (AST-2020-008)","Legacy DC hardware EOL. Security hardening required.",Vivek Saxena,Priya Singh,Vivek Saxena,01-Mar-2024,1.0
CHG-2024-0008,05-Mar-2024,AST-2020-008,Legacy DC - Dell R730,Modification,Status,Active,Disposed,Legacy domain controller decommissioned after migration to AST-2024-0016,"EOL hardware. Migrated AD roles to new server.",Vivek Saxena,Priya Singh,Vivek Saxena,05-Mar-2024,2.0
CHG-2024-0009,10-Mar-2024,AST-2024-0005,Dell Latitude 5540 - HR Head,Addition,New Asset,N/A,N/A,New laptop for incoming HR Head,"New hire - replacement for returned asset from previous incumbent",Suman Devi,Vijay Kumar,Suman Devi,10-Mar-2024,1.0
CHG-2024-0010,15-Mar-2024,AST-2023-0022,Dell Latitude 5540 - Ex-HR Head,Modification,Status,Active,In Storage,Returned asset moved to storage pool for reassignment,"Voluntary return by outgoing HR Head",Suman Devi,Vijay Kumar,Suman Devi,15-Mar-2024,2.0
CHG-2024-0011,18-Mar-2024,AST-2024-0012,PowerEdge R740xd - Payment Gateway,Modification,Criticality,High,Critical,Payment gateway server criticality upgraded,"Reclassified following RCA of CBS payment failure incident. Server now classified as Critical.",Arun Nair,Rohit Verma,Neha Shah,18-Mar-2024,2.0
CHG-2024-0012,20-Mar-2024,AST-2024-0019,Atlassian Jira Service Management,Modification,License Count,80,100,Jira agent license count increased from 80 to 100,"Additional 20 agents added for IT helpdesk expansion",Ravi Gupta,Sneha Patel,Meena Iyer,20-Mar-2024,2.1
CHG-2024-0013,25-Mar-2024,AST-2023-0045,Branch Printer - Bandra,Modification,Location,Branch-Mumbai-Bandra,Branch-Mumbai-Andheri,"Printer relocated from Bandra branch to Andheri branch due to closure of Bandra branch","Bandra branch consolidated with Andheri branch per business decision",Regional IT Lead,Regional IT Lead,Zonal IT Head,25-Mar-2024,2.0
CHG-2024-0014,28-Mar-2024,AST-2024-0010,Lenovo ThinkCentre - Andheri,Modification,User,Branch Manager - Andheri,Head Teller - Andheri,System reassigned from branch manager to head teller,"Branch manager upgraded to new laptop (AST-2024-0021). Desktop reassigned.",Regional IT Lead,Regional IT Lead,Zonal IT Head,28-Mar-2024,2.0
CHG-2024-0015,30-Mar-2024,AST-2024-0021,New Dell Latitude - Andheri BM,Addition,New Asset,N/A,N/A,"New laptop procured for Andheri branch manager","Branch manager laptop replacement approved",Regional IT Lead,Regional IT Lead,Zonal IT Head,30-Mar-2024,1.0
CHG-2024-0016,01-Apr-2024,AST-2024-0013,Sophos XG 450 - DR,Addition,New Asset,N/A,N/A,DR site firewall installation completed,"DR site firewall replacement per network security upgrade project",Ankit Mehra,Vikram Singh,Ankit Mehra,01-Apr-2024,1.0
CHG-2024-0017,01-Apr-2024,AST-2023-0030,Legacy Sophos XG 210 - DR,Modification,Status,Active,Disposed,Legacy DR firewall decommissioned,"EOL reached. Replaced by AST-2024-0013.",Ankit Mehra,Vikram Singh,Ankit Mehra,01-Apr-2024,2.0
CHG-2024-0018,02-Apr-2024,AST-2024-0017,F5 BIG-IP i5800,Modification,Software Version,16.1.0,17.1.0,F5 BIG-IP software upgraded to latest TMOS version,"Security vulnerability mitigation per VMP-2024-0045",Vivek Saxena,Priya Singh,Vivek Saxena,02-Apr-2024,2.0
CHG-2024-0019,03-Apr-2024,AST-2024-0015,Salesforce Financial Services Cloud,Modification,User Count,450,500,"Salesforce license count increased from 450 to 500","Additional 50 licenses for newly onboarded relationship managers",Ravi Gupta,Sneha Patel,Meena Iyer,03-Apr-2024,2.1
CHG-2024-0020,05-Apr-2024,AST-2024-0022,New Azure SQL DB - Analytics,Addition,New Asset,N/A,N/A,"New Azure SQL Database provisioned for MIS analytics workload","New data analytics initiative. Isolated environment from production.",Arun Nair,Deepak Joshi,Vikram Shah,05-Apr-2024,1.0
